Group,Math_Score,Creativity,Communication_Skills,Tech_Interest,Experience,Location_Preference,Salary_Expectation,Education_Level,Recommended_Career
Science,High,High,Good,Yes,2 years,Urban,Medium,Undergraduate,Engineer
Science,High,Low,Poor,Yes,3 years,Urban,High,Undergraduate,Programmer
Science,Medium,Medium,Good,Yes,1 year,Rural,Low,Postgraduate,Doctor
Science,Medium,Medium,Good,No,4 years,Rural,Medium,Postgraduate,Artist
Commerce,High,High,Good,Yes,5 years,Urban,High,Undergraduate,Banker
Commerce,Low,Low,Good,No,No experience,Urban,Low,Undergraduate,Journalist
Humanities,Medium,High,Good,No,2 years,Rural,Medium,Postgraduate,Artist
Humanities,Low,Low,Poor,Yes,No experience,Rural,Low,Postgraduate,Journalist
Science,High,High,Good,Yes,3 years,Urban,Medium,Undergraduate,Programmer
Commerce,Medium,Medium,Good,No,4 years,Rural,Low,Postgraduate,Banker
Humanities,Low,Medium,Poor,No,No experience,Urban,High,Undergraduate,Artist
Science,Medium,Low,Good,Yes,5 years,Urban,High,Undergraduate,Engineer
Commerce,Low,High,Good,Yes,2 years,Urban,Medium,Postgraduate,Programmer
Humanities,High,High,Good,Yes,3 years,Rural,Low,Undergraduate,Artist
Science,High,Medium,Good,Yes,4 years,Urban,High,Postgraduate,Programmer
Commerce,Medium,High,Good,No,1 year,Urban,Medium,Undergraduate,Engineer
Humanities,Low,Low,Poor,No,5 years,Rural,Medium,Postgraduate,Banker
Science,High,Low,Good,Yes,2 years,Urban,Low,Undergraduate,Artist
Commerce,Low,Medium,Good,No,3 years,Urban,High,Postgraduate,Programmer
Humanities,Medium,Medium,Poor,Yes,No experience,Rural,Low,Undergraduate,Artist
